Date,Open,High,Low,Close,Volume
1-Jan-2018,25565.75,25588,25271.55,25318.1,57576913.00
2-Jan-2018,25382.2,25425.5,25232.8,25338.25,72033811.00
3-Jan-2018,25425.75,25454.9,25300.9,25318.6,59730356.00
4-Jan-2018,25367.65,25490.35,25310.3,25462.6,105995860.00
5-Jan-2018,25524.45,25643.35,25499.55,25601.85,123622612.00
8-Jan-2018,25690.25,25771.5,25643.8,25676.1,127527935.00
9-Jan-2018,25727.95,25803.8,25617.25,25703.8,101820385.00
10-Jan-2018,25709.9,25717.6,25527.5,25617.3,81094270.00
11-Jan-2018,25628.2,25694.65,25532.25,25660.9,122695505.00
12-Jan-2018,25732.4,25775.15,25557.6,25749.05,110836433.00
15-Jan-2018,25858.15,26091.8,25842.95,26069.2,192163936.00
16-Jan-2018,26129.15,26136.4,25931.7,25974.9,169867241.00
17-Jan-2018,25946.15,26335.85,25922.3,26289.1,172092208.00
18-Jan-2018,26762.25,26887.65,26423.75,26537.4,224021671.00
19-Jan-2018,26615.65,26957.85,26433.55,26909.5,134390957.00
22-Jan-2018,26940.5,27074.9,26841.2,27041.2,113869602.00
23-Jan-2018,27089.95,27422.05,27066.15,27390.6,169332288.00
24-Jan-2018,27310.15,27479.25,27219.45,27398.55,174331160.00
25-Jan-2018,27414.1,27522.85,27151.75,27445.65,193342305.00
29-Jan-2018,27446.1,27652.05,27407.4,27498.45,114099251.00
30-Jan-2018,27466.85,27470.25,27242.05,27269.05,111009534.00
31-Jan-2018,27136.25,27455.75,27116.95,27379.45,109507598.00
1-Feb-2018,27334.85,27613.5,27046.35,27220.7,131188028.00
2-Feb-2018,27017.4,27017.55,26364.05,26451.15,147521488.00
5-Feb-2018,25968.15,26215.1,25917.55,26098.75,122729724.00
6-Feb-2018,25140.1,26140.6,25023.85,25811.3,153713739.00
7-Feb-2018,26065.4,26078.4,25558.05,25670,121038215.00
8-Feb-2018,25759.85,26126.4,25637.4,25920.65,91011548.00
9-Feb-2018,25466.3,25598.3,25371,25463.65,75985052.00
12-Feb-2018,25530.1,25757.85,25485.4,25701.6,161180184.00
14-Feb-2018,25810.25,25810.25,25212.35,25341.25,197286979.00
15-Feb-2018,25360.9,25615.15,25295.15,25424.35,291475391.00
16-Feb-2018,25511.95,25601,25100.9,25163.9,278142760.00
19-Feb-2018,25324.6,25326.05,24824.55,25058.55,273464127.00
20-Feb-2018,25105.55,25158.1,24829,24874.4,258222746.00
21-Feb-2018,24996.6,24999.7,24796.35,24936.7,152405865.00
22-Feb-2018,24812.7,24987.05,24781.7,24955.2,167442673.00
23-Feb-2018,25002.25,25345.15,24962.85,25302.5,127862871.00
26-Feb-2018,25452,25722.15,25381.2,25687.9,110903837.00
27-Feb-2018,25684.6,25723.55,25356.4,25383.6,289806608.00
28-Feb-2018,25116.25,25192.95,24942,25107.4,311474002.00
1-Mar-2018,25022.35,25226.05,24854.4,24902.55,214529321.00
5-Mar-2018,24831.35,24873.05,24682,24818.7,138679764.00
6-Mar-2018,24964.1,25040.25,24362.05,24448.45,135108832.00
7-Mar-2018,24333.85,24373.4,24096.75,24134.1,187523331.00
8-Mar-2018,24273.9,24534.5,24048.55,24477.65,169549517.00
9-Mar-2018,24556.95,24564.75,24259.7,24296.45,-
12-Mar-2018,24443.6,24716.05,24358.5,24664.2,165215227.00
13-Mar-2018,24624.6,25009.65,24597.55,24738.65,235984528.00
14-Mar-2018,24629.65,24894.3,24487,24851.65,209048209.00
15-Mar-2018,24854.3,24939.85,24732,24791.85,130382242.00
16-Mar-2018,24753.65,24785.35,24439.15,24489.55,189684825.00
19-Mar-2018,24530.15,24588.05,24186.95,24245.1,147614260.00
20-Mar-2018,24133.95,24355.65,24082.95,24168.2,127991875.00
21-Mar-2018,24331.3,24459.75,24208.65,24255.6,-
22-Mar-2018,24252.95,24314.4,24094.85,24141.5,131439602.00
23-Mar-2018,23785.65,23796.3,23605.6,23670.4,180649286.00
26-Mar-2018,23674.9,24290.65,23657.05,24244.35,193627423.00
27-Mar-2018,24396.4,24496.95,24266.4,24434.15,178620655.00
28-Mar-2018,24299.5,24361,24203.4,24263.35,183841858.00
2-Apr-2018,24235.65,24373.4,24062.95,24328.5,-
3-Apr-2018,24285.95,24538,24254.35,24510.6,-
4-Apr-2018,24502.5,24666.3,24087.8,24129.5,126222576.00
5-Apr-2018,24394.45,24824.9,24380.85,24759.8,133764907.00
6-Apr-2018,24776.35,24933.6,24626.4,24873.15,160970708.00
9-Apr-2018,24848.85,25152.85,24828,25093.8,-
10-Apr-2018,25153.6,25279.9,25120.2,25226.8,171760040.00
11-Apr-2018,25198.35,25207.05,24950.3,25098.25,107073367.00
12-Apr-2018,25076.9,25244.8,24969.4,25195.1,111777276.00
13-Apr-2018,25239.65,25411.3,25076.85,25200.6,110293693.00
16-Apr-2018,25082.1,25348.55,25067.35,25320.85,89034228.00
17-Apr-2018,25383.75,25402.55,25224,25334.45,89721865.00
18-Apr-2018,25426.75,25426.75,25058.75,25102.3,-
19-Apr-2018,25206.45,25207.3,25049.7,25126.15,95466036.00
20-Apr-2018,25126.8,25126.8,24839.3,24943.85,109581669.00
23-Apr-2018,25065.5,25084.15,24466.1,24960.65,82787891.00
24-Apr-2018,24972.2,25123.45,24955,25042.1,87396011.00
25-Apr-2018,24993.4,24993.4,24734.6,24814.4,81840418.00
26-Apr-2018,24833.2,25064,24753.4,25010.9,173426201.00
27-Apr-2018,25030.15,25441.5,25029.65,25394.6,232368278.00
30-Apr-2018,25490.15,25617.5,25464.8,25531.6,124580678.00
2-May-2018,25607.05,25716.75,25499.35,25568.3,117929750.00
3-May-2018,25547.9,25653.45,25469.05,25605.25,100388024.00
4-May-2018,25632.3,25680.4,25537.7,25645.4,97343104.00
7-May-2018,25676.25,25913.5,25675.15,25852.05,92743092.00
8-May-2018,26074.15,26116.25,25954.6,26090.5,198848914.00
9-May-2018,25988.1,26206.5,25946.3,26154.45,96440863.00
10-May-2018,26216.1,26266.4,26057.2,26131,214481883.00
11-May-2018,26173.7,26437.25,26099.85,26413.15,109005797.00
14-May-2018,26404.45,26565.4,26338.05,26475.15,97254252.00
15-May-2018,26494.9,26972.05,26407.3,26474,150002630.00
16-May-2018,26269.35,26428.35,26102.15,26182.15,232083519.00
17-May-2018,26233.2,26283.55,26012,26073.8,126926383.00
18-May-2018,26025.6,26032,25839,25875.6,113573727.00
21-May-2018,26017.5,26066.75,25685.35,25750.8,120004208.00
22-May-2018,25780.25,25945.65,25701.35,25777.7,179388885.00
23-May-2018,25726.95,25903.9,25622.15,25684.95,170573849.00
24-May-2018,25722.9,26073.1,25658.4,26016.8,110029603.00
25-May-2018,26066.75,26325.55,26031.45,26273.55,98939554.00
28-May-2018,26291.65,26713.65,26273.9,26614.25,136868774.00
29-May-2018,26567.25,26570.95,26221.1,26254.8,106152966.00
30-May-2018,26039.9,26405.45,25980.85,26327.8,118974102.00
31-May-2018,26587,27164.55,26354.55,26956.2,318900279.00
1-Jun-2018,26913.4,26996.8,26658.55,26692.8,132336254.00
4-Jun-2018,27023.7,27047.55,26205.9,26257.55,137561064.00
5-Jun-2018,26263,26342.4,26069.55,26251,107940100.00
6-Jun-2018,26266.9,26425.2,26147.8,26367.6,144159415.00
7-Jun-2018,26577.95,26766.95,26483.9,26517.8,131294980.00
8-Jun-2018,26457.25,26481,26284.2,26451.35,115660362.00
11-Jun-2018,26473.2,26653,26421.95,26453.55,144115066.00
12-Jun-2018,26566.6,26656.45,26449.85,26607.1,132109351.00
13-Jun-2018,26721.95,26765.45,26598.2,26642.8,116844183.00
14-Jun-2018,26612.3,26623.25,26503.1,26562.25,99120546.00
15-Jun-2018,26513.7,26586.4,26344.95,26417.4,147563095.00
18-Jun-2018,26444.3,26477.5,26322.45,26409.3,101362059.00
19-Jun-2018,26448.1,26448.1,26224.75,26265.75,112377787.00
20-Jun-2018,26320.45,26574.75,26309.95,26557.7,105129754.00
21-Jun-2018,26645.3,26682.95,26454.95,26496.95,122194668.00
22-Jun-2018,26518.4,26806.55,26364.25,26766.85,127690793.00
25-Jun-2018,26718.15,26804.9,26573,26609.7,89753825.00
26-Jun-2018,26495.65,26712.6,26479.65,26601.7,97355424.00
27-Jun-2018,26616.3,26634.3,26336.5,26423.4,124787831.00
28-Jun-2018,26398.1,26487.85,26161,26324.6,242245847.00
29-Jun-2018,26312.7,26465,26291.35,26364.2,128238510.00
2-Jul-2018,26364.45,26371.6,26060.6,26230.3,174872280.00
3-Jul-2018,26210.1,26316.1,26142,26204.1,104588044.00
4-Jul-2018,26249.25,26480.5,26132.9,26433.95,82888322.00
5-Jul-2018,26481.55,26598.45,26415.2,26503.3,91431872.00
6-Jul-2018,26427.55,26609.85,26410,26493.85,120291139.00
9-Jul-2018,26642.35,26781.2,26611.55,26753.3,101833058.00
10-Jul-2018,26844.55,26939.55,26778.5,26894.55,103574099.00
11-Jul-2018,26900.65,26938.85,26774.6,26816.2,91728787.00
12-Jul-2018,26937.5,27164.8,26936.05,27026.55,108520112.00
13-Jul-2018,27046.85,27102.35,26902.3,26935.95,102571130.00
16-Jul-2018,26914.5,26939.05,26643.95,26679.8,105758457.00
17-Jul-2018,26662.85,27041.35,26653.65,27008.1,217931631.00
18-Jul-2018,27107.35,27187.15,26834.45,26880.9,192207622.00
19-Jul-2018,26960.2,27025.45,26730.1,26789.65,130746919.00
20-Jul-2018,26764.4,26946.55,26718.6,26873.2,84205472.00
23-Jul-2018,26701.3,27040.1,26671.35,27008.15,125717272.00
24-Jul-2018,26984.15,27128,26868.15,26974.4,115100157.00
25-Jul-2018,26992.55,27074,26939.35,27031.3,100793998.00
26-Jul-2018,27054.7,27455.1,27045.05,27406.4,256486512.00
27-Jul-2018,27497.8,27661.05,27455,27634.4,215768964.00
30-Jul-2018,27767.65,27873.7,27607.95,27842.6,308460689.00
31-Jul-2018,27797.2,27839.2,27651.3,27764.15,185189252.00
1-Aug-2018,27684.8,27820.15,27477.9,27596.6,152825700.00
2-Aug-2018,27469.5,27487.9,27327.95,27355.95,119103729.00
3-Aug-2018,27471.95,27723,27448.15,27695.5,164821344.00
6-Aug-2018,27769.55,27994,27766.05,27898.5,184016610.00
7-Aug-2018,27972.95,27988.2,27827.3,27875.9,249213872.00
8-Aug-2018,27930.55,28128.65,27858.75,28062.45,149989901.00
9-Aug-2018,28173.65,28363.4,28132,28320,254180287.00
10-Aug-2018,28348.95,28377.9,28087.65,28124.25,285470698.00
13-Aug-2018,27760.8,27911.85,27739.5,27794.4,165765211.00
14-Aug-2018,27864.4,28053.05,27854.9,28021.7,116466884.00
16-Aug-2018,27836.15,28013.1,27779.5,27826.55,185103463.00
17-Aug-2018,27991.75,28178.15,27953.8,28128.55,156310659.00
20-Aug-2018,28171.65,28322.3,28171.65,28274.25,177840658.00
21-Aug-2018,28295.85,28305.95,28151.9,28257.9,142439166.00
23-Aug-2018,28321.95,28325.45,27965.35,28027.9,133387354.00
24-Aug-2018,27954.25,28122.75,27782.8,27834.7,169952869.00
27-Aug-2018,27971.25,28317.75,27958.2,28264.2,146706980.00
28-Aug-2018,28379.9,28388.65,28152.7,28269.65,144026112.00
29-Aug-2018,28233.4,28344.1,28167.8,28224.1,168875762.00
30-Aug-2018,28233.7,28233.7,27961.75,28103.25,186360757.00
31-Aug-2018,27998,28157.35,27940.95,28061.75,229622699.00
3-Sep-2018,28199.45,28203.2,27777.4,27819.5,127011210.00
4-Sep-2018,27845.55,27875.15,27385.85,27430.75,165858496.00
5-Sep-2018,27409.3,27506.3,27136.05,27376.05,131880484.00
6-Sep-2018,27464.25,27552.8,27246.25,27468.7,120287292.00
7-Sep-2018,27439.25,27512.5,27232.8,27481.45,144905496.00
10-Sep-2018,27395.2,27404.85,27142.55,27201.75,178147552.00
11-Sep-2018,27295.2,27318.45,26772.25,26807.5,160826279.00
12-Sep-2018,26895.15,26895.15,26555.15,26819.2,174201027.00
14-Sep-2018,27059.85,27205.75,26989.8,27163.85,136633270.00
17-Sep-2018,27002.6,27002.6,26743.4,26820.3,115283101.00
18-Sep-2018,26757,26901.05,26407.45,26441.45,308575632.00
19-Sep-2018,26532,26611.6,26235.7,26277.35,244393690.00
21-Sep-2018,26331.05,26490.4,25053.35,25596.9,547285580.00
24-Sep-2018,25645.05,25649.7,24904.5,24970.35,272396270.00
25-Sep-2018,24947.7,25406.95,24678.25,25330.35,329548199.00
26-Sep-2018,25525.1,25525.1,25197.35,25376.3,215055339.00
27-Sep-2018,25442.1,25452.5,25007.05,25042.15,262822577.00
28-Sep-2018,25135.8,25354.7,24919.25,25119.85,367109389.00
1-Oct-2018,24943.9,25412.15,24707.65,25367,304703170.00
3-Oct-2018,25290.55,25470.05,25026.35,25069.9,261054513.00
4-Oct-2018,24735.15,24893.4,24501.05,24819.3,245813411.00
5-Oct-2018,24741.65,25080.2,24250.65,24443.45,230429144.00
8-Oct-2018,24470.75,24745.35,24240.05,24618.35,223867274.00
9-Oct-2018,24703.65,24759.9,24464.9,24527.65,175374004.00
10-Oct-2018,24596.6,25371.15,24559.9,25321.7,227005049.00
11-Oct-2018,24541.75,24940.1,24493.7,24783.95,255410789.00
12-Oct-2018,25001.95,25484.2,24975.45,25395.85,200602244.00
15-Oct-2018,25444,25466.2,25147.8,25388.05,146636264.00
16-Oct-2018,25414.2,25707.05,25351.8,25589.65,226063396.00
17-Oct-2018,25839.1,25915.35,25101.95,25188.6,182759960.00
19-Oct-2018,24966.5,25277.9,24922.65,25085.8,200900442.00
22-Oct-2018,25484.25,25504.75,25021.35,25078.6,172423369.00
23-Oct-2018,24786.9,25124.6,24784.9,24972.45,144911236.00
24-Oct-2018,25312.7,25356.9,24839.65,25064.2,176623910.00
25-Oct-2018,24841.5,24977.35,24696.85,24817.45,215033794.00
26-Oct-2018,24771.85,24771.95,24353.1,24421.05,219130974.00
29-Oct-2018,24647.95,25023.75,24404.55,24959.7,279844102.00
30-Oct-2018,24924.75,25121.5,24686.85,24807.75,257591034.00
31-Oct-2018,24823.8,25201.3,24528.35,25153.25,241789641.00
1-Nov-2018,25285.2,25401.6,25129.45,25323.65,216612149.00
2-Nov-2018,25545.35,25856.25,25499.15,25701.65,297782501.00
5-Nov-2018,25731.55,25788.2,25534.4,25732.2,188023500.00
6-Nov-2018,25747.4,25860.75,25558.35,25598,162090341.00
7-Nov-2018,25818.1,25824.4,25698.1,25737.5,18966564.00
9-Nov-2018,25742.55,25822.75,25598.75,25771,145005871.00
12-Nov-2018,25816.15,25907.2,25495.1,25539.75,115950746.00
13-Nov-2018,25422,25796.5,25384.55,25768.6,141869413.00
14-Nov-2018,25952.4,26045.05,25806.7,25930.15,194940269.00
15-Nov-2018,25946.2,26197.6,25728,26154.75,171790148.00
16-Nov-2018,26205.35,26332.75,26122.55,26245.55,235671044.00
19-Nov-2018,26364.6,26379.1,26204.35,26300.7,172343045.00
20-Nov-2018,26211.5,26259.4,26041.8,26113.35,189681759.00
21-Nov-2018,26105.45,26342.05,26060.55,26262.05,159319280.00
22-Nov-2018,26233.65,26323.95,25947.85,25999.45,153931487.00
26-Nov-2018,26096,26396.6,26025.05,26365.6,174542785.00
27-Nov-2018,26286.1,26491.25,26268.65,26443.1,176101916.00
28-Nov-2018,26489.65,26584.95,26419.65,26457.95,255358541.00
29-Nov-2018,26641.6,27003.75,26577.15,26939.6,472107464.00
30-Nov-2018,27009.3,27012.7,26764.9,26862.95,228852954.00
3-Dec-2018,27032.9,27037.1,26791.65,26857.55,205823981.00
4-Dec-2018,26809.5,26843.8,26644.75,26693.8,172608502.00
5-Dec-2018,26572.1,26627.35,26443.65,26519.6,144478743.00
6-Dec-2018,26339.1,26359.9,26149.45,26198.3,139141747.00
7-Dec-2018,26307.4,26659.7,26252.1,26594.3,185529990.00
10-Dec-2018,26073.65,26336.2,26072,26102.65,156932519.00
11-Dec-2018,25602.25,26227.9,25598.95,26163.4,264187458.00
12-Dec-2018,26286.25,26672.7,26214.75,26643.85,215679380.00
13-Dec-2018,26844.15,26951.45,26723.65,26816.35,236399763.00
14-Dec-2018,26810.85,26909,26732.7,26826,168458080.00
17-Dec-2018,26915.45,27051.4,26908.6,27015.8,118695599.00
18-Dec-2018,26917.3,27210.05,26840.8,27174.7,158144343.00
19-Dec-2018,27229.05,27364.35,27214.3,27298.4,215616915.00
20-Dec-2018,27128.65,27309.1,27084.5,27275.1,191698257.00
21-Dec-2018,27261.25,27369.1,26823.1,26869.65,177065617.00
24-Dec-2018,26877.05,26934.85,26676.95,26714.75,128003648.00
26-Dec-2018,26634,27029.15,26408.15,26986.8,148910853.00
27-Dec-2018,27200.65,27239.95,26845.1,26878.55,169903194.00
28-Dec-2018,27048.4,27213.45,27039.6,27125.25,109836090.00
31-Dec-2018,27267.8,27286.5,27105,27160.2,83813951.00
1-Jan-2019,27231.4,27430.55,27019.05,27392.4,116379065.00
2-Jan-2019,27297,27397.55,27077.6,27174.7,176599164.00
3-Jan-2019,27181.6,27206.2,26923.75,26959.85,151201387.00
4-Jan-2019,26999.7,27274.5,26926.1,27195,189451222.00
7-Jan-2019,27378.65,27477.8,27279.55,27304.55,161026470.00
8-Jan-2019,27301.9,27542.4,27161.95,27509.5,150550286.00
9-Jan-2019,27651.25,27754.45,27409.5,27720.4,199818392.00
10-Jan-2019,27713.55,27713.55,27488.2,27528.55,139266179.00
11-Jan-2019,27602.8,27612.45,27382.45,27453.9,116552104.00
14-Jan-2019,27389.2,27389.8,27182.2,27248.25,212863498.00
15-Jan-2019,27317.55,27447.55,27317.1,27400.75,161396521.00
16-Jan-2019,27405.65,27554.75,27403.05,27483.7,183688179.00
17-Jan-2019,27568.6,27611.55,27335.15,27528.75,212321274.00
18-Jan-2019,27550.05,27576.45,27410.65,27456.7,129067258.00
21-Jan-2019,27514.55,27622.2,27388.5,27533.6,128881764.00
22-Jan-2019,27526.55,27533.35,27385.4,27482.25,138997867.00
23-Jan-2019,27493.1,27564.7,27189.6,27250.75,126935738.00
24-Jan-2019,27273.5,27342.35,27142.8,27266.4,210279603.00
25-Jan-2019,27261.45,27433.55,27045.2,27115.3,284535180.00
28-Jan-2019,27041.45,27134.2,26587.95,26653.05,181836992.00
29-Jan-2019,26616.25,26743.85,26441.55,26573.4,194369347.00
30-Jan-2019,26789.75,26916.25,26693.7,26825.5,249270714.00
31-Jan-2019,26969.15,27325.05,26891.05,27295.45,306292995.00
1-Feb-2019,27334.55,27533.05,26930.45,27085.95,238794913.00
4-Feb-2019,26974,27243.8,26825.55,27186.6,173078574.00
5-Feb-2019,27226.05,27348.25,27153.2,27271.7,189860429.00
6-Feb-2019,27326.2,27428.65,27294.1,27402.35,164747849.00
7-Feb-2019,27424.1,27589.75,27322.95,27387.15,156626117.00
8-Feb-2019,27302.65,27482.1,27221.25,27294.4,142258447.00
11-Feb-2019,27240.5,27305.9,27151.55,27227.8,117311228.00
12-Feb-2019,27166.9,27286.65,26988.9,27010.75,117431255.00
13-Feb-2019,27068.85,27108,26839.05,26885.4,112116513.00
14-Feb-2019,26978,27030,26818.05,26970.6,374943572.00
15-Feb-2019,27017.2,27029.95,26635.25,26794.25,252673681.00
18-Feb-2019,26754.6,26829.95,26617.7,26654.25,175449436.00
19-Feb-2019,26666.55,26996.45,26625.6,26684.85,129759984.00
20-Feb-2019,26786,26985.5,26732.65,26955.5,130711905.00
21-Feb-2019,26994.75,27100.9,26973,27052.4,148275410.00
22-Feb-2019,26960.05,26997.35,26847.8,26867.55,221450091.00
25-Feb-2019,26934.2,27197.1,26932.65,27159.25,141100629.00
26-Feb-2019,26853.8,27127.25,26736.6,26952.95,201083249.00
27-Feb-2019,27078.1,27189.45,26719.4,26799.3,193745424.00
28-Feb-2019,26878,26920.5,26762.55,26789.9,191588675.00
1-Mar-2019,26941,27076.55,26928.9,27043.9,189425878.00
5-Mar-2019,27068.15,27580.75,26958.1,27554.05,207435129.00
6-Mar-2019,27618.1,27681.65,27492.05,27625.65,179778089.00
7-Mar-2019,27661,27815.5,27560,27764.6,208017462.00
8-Mar-2019,27686.15,27811.35,27645.4,27761.8,140524297.00
11-Mar-2019,27840.1,28035.6,27791.25,27966.65,148235712.00
12-Mar-2019,28168.2,28488.1,28142.25,28443.7,184260495.00
13-Mar-2019,28480.3,28927.7,28353.65,28884.3,206998023.00
14-Mar-2019,29028.9,29070.35,28819.75,28923.1,187139544.00
15-Mar-2019,29007,29520.7,28990.85,29381.45,296217360.00
18-Mar-2019,29521.6,29812,29361.65,29596.1,185741004.00
19-Mar-2019,29702.6,29799.75,29547.7,29767.85,222296391.00
20-Mar-2019,29769.65,29885.2,29633.5,29832.2,194921072.00
22-Mar-2019,29920.75,30008.1,29508.7,29582.5,219823784.00
25-Mar-2019,29329.4,29329.4,29156.25,29281.2,132018394.00
26-Mar-2019,29300.4,29950.15,29278.5,29882.15,131212876.00
27-Mar-2019,30034.15,30262.55,29790.25,30019.8,260544922.00
28-Mar-2019,30064.8,30496.05,29969.1,30420.55,292110701.00
29-Mar-2019,30480.35,30499.15,30235.9,30426.8,219687116.00
1-Apr-2019,30537.6,30648.1,30218.35,30326.5,224440509.00
2-Apr-2019,30450.1,30452.9,30155.85,30354.25,196482019.00
3-Apr-2019,30440.85,30602.55,30036.25,30093.3,193071867.00
4-Apr-2019,30147.3,30245.7,29809.9,29904.9,199631082.00
5-Apr-2019,30002.85,30174,29850,30084.65,154141037.00
8-Apr-2019,30201.5,30232.05,29716.6,29845.3,147201421.00
9-Apr-2019,29901.5,30165.05,29703.55,30113.85,165462138.00
10-Apr-2019,29916.6,30155.75,29768.1,29803.5,165250173.00
11-Apr-2019,29841.85,29852.25,29640.25,29786.1,108247929.00
12-Apr-2019,29780.55,30000.95,29707,29938.55,104858970.00
15-Apr-2019,29983.5,30163.1,29919.1,30104.25,90613632.00
